OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:20:48:37 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:20:49:05 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:20:59:25 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:00:17 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:00:26 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:01:11 и дата:08.09.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:21:01:11 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:01:38 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:02:00 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:02:03 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:02:32 и дата:08.09.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:21:02:32 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:03:45 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:05:09 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:05:21 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:05:45 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:05:55 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:06:45 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:07:00 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:07:33 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:08:02 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:08:10 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:08:54 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:21:09:47 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:23:55:11 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:23:55:43 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:23:57:10 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:23:57:25 и дата:08.09.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:04:19 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:04:31 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:06:03 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:06:21 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:08:00 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:08:43 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:09:25 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:11:43 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:12:28 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:13:23 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:14:22 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:15:47 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:16:31 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:18:37 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:18:42 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:18:50 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:19:09 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:21:18 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:21:59 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:22:47 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:23:14 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:24:03 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:24:52 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:24:52 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:26:36 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:26:36 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:26:58 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:28:22 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:28:22 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:31:31 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:31:31 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:31:47 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:32:35 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:32:35 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:33:34 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:33:34 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:33:53 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:33:53 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:46:39 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:46:53 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:46:53 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:47:07 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:49:27 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:49:45 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:49:45 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:54:31 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:00:54:31 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:00:56:02 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:01:11:04 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:01:11:05 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:12:53:27 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:12:53:28 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:12:56:07 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:12:56:07 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:03:53 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:06:44 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:06:44 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:06:53 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:06:53 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:22:28 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:22:28 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:22:35 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:22:38 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:22:41 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:22:50 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:22:50 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:23:06 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:23:06 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:26:28 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:26:49 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:27:25 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:49:29 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:53:19 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:56:35 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:13:56:48 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:13:56:48 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:15:58:38 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:15:58:40 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:15:58:46 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:15:58:46 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:02:03 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:02:03 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:03:17 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:08:04 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:08:12 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:08:12 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:09:30 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:10:46 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:11:29 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:13:06 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:14:16 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:14:16 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:28:53 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:29:27 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:29:27 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:35:28 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:35:43 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:35:43 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:35:52 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:35:52 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:36:06 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:36:06 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:36:10 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:36:10 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:36:23 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: User     время:16:36:23 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: User     время:16:37:25 и дата:08.10.14
